created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2020-10-08T17:47:31+02:00,1,46.38,93.00,19.80,,,,,
2020-10-08T17:57:35+02:00,2,46.43,93.00,19.80,,,,,
2020-10-08T18:07:40+02:00,3,46.40,93.00,19.80,,,,,
2020-10-08T18:17:44+02:00,4,46.42,93.00,19.80,,,,,
2020-10-08T18:27:48+02:00,5,46.36,93.00,19.90,,,,,
2020-10-08T18:37:53+02:00,6,46.37,93.00,20.00,,,,,
2020-10-08T18:47:57+02:00,7,46.34,93.00,19.90,,,,,
2020-10-08T18:58:01+02:00,8,46.36,93.00,19.90,,,,,
2020-10-08T19:08:06+02:00,9,46.48,93.00,19.80,,,,,
2020-10-08T19:18:10+02:00,10,46.39,93.00,19.90,,,,,
2020-10-08T19:28:14+02:00,11,46.42,93.00,20.10,,,,,
2020-10-08T19:38:19+02:00,12,46.42,93.00,20.10,,,,,
2020-10-08T19:48:23+02:00,13,46.41,93.00,20.10,,,,,
2020-10-08T19:58:28+02:00,14,46.41,93.00,20.10,,,,,
2020-10-08T20:08:32+02:00,15,46.40,93.00,20.10,,,,,
2020-10-08T20:18:36+02:00,16,46.41,93.00,20.00,,,,,
2020-10-08T20:28:41+02:00,17,46.42,93.00,19.90,,,,,
2020-10-08T20:38:45+02:00,18,46.44,93.00,20.20,,,,,
2020-10-08T20:48:49+02:00,19,46.40,93.00,20.20,,,,,
2020-10-08T20:58:54+02:00,20,46.46,93.00,20.20,,,,,
2020-10-08T21:08:58+02:00,21,46.37,93.00,20.20,,,,,
2020-10-08T21:19:03+02:00,22,46.40,93.00,20.20,,,,,
2020-10-08T21:29:07+02:00,23,46.44,93.00,20.30,,,,,
2020-10-08T21:39:11+02:00,24,46.45,93.00,20.30,,,,,
2020-10-08T21:49:16+02:00,25,46.40,93.00,20.50,,,,,
2020-10-08T21:59:20+02:00,26,46.42,93.00,20.50,,,,,
2020-10-08T22:09:25+02:00,27,46.38,93.00,20.40,,,,,
2020-10-08T22:19:29+02:00,28,46.43,93.00,20.30,,,,,
2020-10-08T22:29:34+02:00,29,46.44,93.00,20.50,,,,,
2020-10-08T22:39:38+02:00,30,46.43,93.00,20.50,,,,,
2020-10-08T22:49:42+02:00,31,46.41,93.00,20.20,,,,,
2020-10-08T22:59:47+02:00,32,46.42,93.00,20.40,,,,,
2020-10-08T23:09:51+02:00,33,46.33,93.00,20.40,,,,,
2020-10-08T23:19:55+02:00,34,46.50,93.00,20.50,,,,,
2020-10-08T23:30:00+02:00,35,46.44,93.00,20.50,,,,,
2020-10-08T23:40:04+02:00,36,46.52,93.00,20.50,,,,,
2020-10-08T23:50:08+02:00,37,46.51,93.00,20.30,,,,,
2020-10-09T00:00:13+02:00,38,46.52,93.00,20.20,,,,,
2020-10-09T00:10:17+02:00,39,46.51,93.00,20.20,,,,,
2020-10-09T00:20:22+02:00,40,46.48,93.00,20.20,,,,,
2020-10-09T00:30:26+02:00,41,46.54,93.00,20.30,,,,,
2020-10-09T00:40:30+02:00,42,46.49,93.00,20.20,,,,,
2020-10-09T00:50:35+02:00,43,46.51,93.00,20.20,,,,,
2020-10-09T01:00:39+02:00,44,46.64,93.00,20.10,,,,,
2020-10-09T01:10:44+02:00,45,46.61,93.00,19.90,,,,,
2020-10-09T01:20:48+02:00,46,46.63,93.00,19.90,,,,,
2020-10-09T01:30:52+02:00,47,46.62,93.00,19.90,,,,,
2020-10-09T01:40:57+02:00,48,46.61,93.00,19.90,,,,,
2020-10-09T01:51:01+02:00,49,46.63,93.00,20.00,,,,,
2020-10-09T02:01:05+02:00,50,46.63,93.00,19.90,,,,,
2020-10-09T02:11:10+02:00,51,46.64,93.00,19.80,,,,,
2020-10-09T02:21:14+02:00,52,46.63,93.00,19.70,,,,,
2020-10-09T02:31:18+02:00,53,46.62,93.00,19.70,,,,,
2020-10-09T02:41:23+02:00,54,46.63,93.00,19.70,,,,,
2020-10-09T02:51:27+02:00,55,46.64,93.00,19.60,,,,,
2020-10-09T03:01:32+02:00,56,46.65,93.00,19.60,,,,,
2020-10-09T03:11:39+02:00,57,46.66,93.00,19.70,,,,,
2020-10-09T03:21:40+02:00,58,46.65,93.00,19.80,,,,,
2020-10-09T03:31:45+02:00,59,46.65,93.00,19.70,,,,,
2020-10-09T03:41:49+02:00,60,46.64,93.00,19.70,,,,,
2020-10-09T03:51:53+02:00,61,46.64,93.00,19.80,,,,,
2020-10-09T04:01:58+02:00,62,46.63,93.00,19.80,,,,,
2020-10-09T04:12:02+02:00,63,46.64,93.00,19.80,,,,,
2020-10-09T04:22:06+02:00,64,46.63,93.00,19.70,,,,,
2020-10-09T04:32:10+02:00,65,46.64,93.00,19.40,,,,,
2020-10-09T04:42:15+02:00,66,46.63,93.00,19.20,,,,,
2020-10-09T04:52:19+02:00,67,46.64,93.00,19.40,,,,,
2020-10-09T05:02:24+02:00,68,46.63,93.00,19.50,,,,,
2020-10-09T05:12:28+02:00,69,46.64,93.00,19.70,,,,,
2020-10-09T05:22:32+02:00,70,46.64,93.00,19.40,,,,,
2020-10-09T05:32:37+02:00,71,46.65,93.00,19.30,,,,,
2020-10-09T05:42:41+02:00,72,46.64,93.00,19.30,,,,,
2020-10-09T05:52:46+02:00,73,46.65,93.00,19.30,,,,,
2020-10-09T06:02:50+02:00,74,46.63,93.00,19.40,,,,,
2020-10-09T06:12:54+02:00,75,46.64,93.00,19.40,,,,,
2020-10-09T06:22:59+02:00,76,46.64,93.00,19.40,,,,,
2020-10-09T06:33:03+02:00,77,46.63,93.00,19.50,,,,,
2020-10-09T06:43:07+02:00,78,46.64,93.00,19.60,,,,,
2020-10-09T06:53:12+02:00,79,46.64,93.00,19.60,,,,,
2020-10-09T07:03:16+02:00,80,46.64,93.00,19.50,,,,,
2020-10-09T07:13:20+02:00,81,46.64,93.00,19.50,,,,,
2020-10-09T07:23:25+02:00,82,46.64,93.00,19.30,,,,,
2020-10-09T07:33:29+02:00,83,46.64,93.00,19.30,,,,,
2020-10-09T07:43:33+02:00,84,46.64,93.00,19.30,,,,,
2020-10-09T07:53:38+02:00,85,46.63,93.00,19.30,,,,,
2020-10-09T08:03:42+02:00,86,46.63,93.00,19.40,,,,,
2020-10-09T08:13:47+02:00,87,46.63,93.00,19.40,,,,,
2020-10-09T08:23:51+02:00,88,46.63,93.00,19.40,,,,,
2020-10-09T08:33:55+02:00,89,46.61,93.00,19.40,,,,,
2020-10-09T08:44:00+02:00,90,46.63,93.00,19.40,,,,,
2020-10-09T08:54:04+02:00,91,46.62,93.00,19.50,,,,,
2020-10-09T09:14:13+02:00,92,46.64,93.00,19.50,,,,,
2020-10-09T09:24:17+02:00,93,46.62,93.00,19.60,,,,,
2020-10-09T09:34:21+02:00,94,46.62,93.00,19.50,,,,,
2020-10-09T09:44:26+02:00,95,46.62,93.00,19.50,,,,,
2020-10-09T09:54:30+02:00,96,46.60,93.00,19.60,,,,,
2020-10-09T10:04:35+02:00,97,46.60,93.00,19.50,,,,,
2020-10-09T10:14:39+02:00,98,46.59,93.00,19.70,,,,,
2020-10-09T10:24:43+02:00,99,46.55,93.00,19.90,,,,,
2020-10-09T10:34:48+02:00,100,46.59,93.00,19.90,,,,,
2020-10-09T10:44:52+02:00,101,46.60,93.00,20.00,,,,,
2020-10-09T10:54:57+02:00,102,46.58,93.00,19.90,,,,,
2020-10-09T11:05:01+02:00,103,46.57,93.00,20.10,,,,,
2020-10-09T11:15:06+02:00,104,46.57,93.00,20.00,,,,,
2020-10-09T11:25:10+02:00,105,46.56,93.00,20.00,,,,,
2020-10-09T11:35:14+02:00,106,46.53,93.00,20.10,,,,,
2020-10-09T11:45:18+02:00,107,46.55,93.00,20.20,,,,,
2020-10-09T11:55:23+02:00,108,46.56,93.00,20.50,,,,,
2020-10-09T12:05:27+02:00,109,46.56,93.00,20.60,,,,,
2020-10-09T12:15:32+02:00,110,46.55,93.00,20.80,,,,,
2020-10-09T12:25:36+02:00,111,46.56,94.00,21.00,,,,,
2020-10-09T12:35:40+02:00,112,46.55,94.00,21.10,,,,,
2020-10-09T12:45:44+02:00,113,46.51,94.00,21.00,,,,,
2020-10-09T12:55:49+02:00,114,46.46,94.00,21.40,,,,,
2020-10-09T13:05:53+02:00,115,46.47,95.00,22.10,,,,,
2020-10-09T13:15:58+02:00,116,46.46,95.00,22.90,,,,,
2020-10-09T13:26:02+02:00,117,46.47,95.00,23.40,,,,,
2020-10-09T13:36:06+02:00,118,46.43,95.00,24.10,,,,,
2020-10-09T13:46:11+02:00,119,46.39,95.00,24.70,,,,,
2020-10-09T13:56:28+02:00,120,43.15,95.00,25.40,,,,,
2020-10-09T14:06:32+02:00,121,43.28,91.00,22.80,,,,,
2020-10-09T14:16:37+02:00,122,43.28,94.00,32.40,,,,,
2020-10-09T14:26:41+02:00,123,43.26,85.00,32.90,,,,,
2020-10-09T14:36:45+02:00,124,43.28,84.00,33.10,,,,,
2020-10-09T14:46:50+02:00,125,43.24,83.00,32.90,,,,,
