created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2020-10-14T17:03:37+02:00,1,49.63,78.00,13.10,,,,
2020-10-14T17:13:41+02:00,2,49.77,95.00,20.30,,,,
2020-10-14T17:23:45+02:00,3,49.79,95.00,23.10,,,,
2020-10-14T17:33:49+02:00,4,49.78,86.00,23.40,,,,
2020-10-14T17:43:53+02:00,5,49.77,79.00,23.50,,,,
2020-10-14T17:53:58+02:00,6,49.76,78.00,23.50,,,,
2020-10-14T18:04:02+02:00,7,49.73,79.00,23.70,,,,
2020-10-14T18:14:06+02:00,8,49.73,79.00,23.70,,,,
2020-10-14T18:24:11+02:00,9,49.73,78.00,23.70,,,,
2020-10-14T18:34:15+02:00,10,49.72,77.00,23.70,,,,
2020-10-14T18:44:19+02:00,11,49.71,78.00,23.40,,,,
2020-10-14T18:54:24+02:00,12,49.74,78.00,23.70,,,,
2020-10-14T19:04:28+02:00,13,49.70,78.00,23.70,,,,
2020-10-14T19:14:32+02:00,14,49.69,78.00,24.10,,,,
2020-10-14T19:24:37+02:00,15,49.68,77.00,24.30,,,,
2020-10-14T19:34:41+02:00,16,49.67,78.00,24.30,,,,
2020-10-14T19:44:45+02:00,17,49.68,76.00,24.30,,,,
2020-10-14T19:54:49+02:00,18,49.68,74.00,24.30,,,,
2020-10-14T20:04:54+02:00,19,49.67,74.00,24.10,,,,
2020-10-14T20:14:58+02:00,20,49.67,75.00,23.70,,,,
2020-10-14T20:25:02+02:00,21,49.65,75.00,23.40,,,,
2020-10-14T20:35:07+02:00,22,49.64,75.00,23.30,,,,
2020-10-14T20:45:11+02:00,23,49.66,78.00,23.30,,,,
2020-10-14T20:55:15+02:00,24,49.65,77.00,22.70,,,,
2020-10-14T21:05:19+02:00,25,49.65,76.00,22.10,,,,
2020-10-14T21:15:24+02:00,26,49.65,77.00,21.90,,,,
2020-10-14T21:25:28+02:00,27,49.66,78.00,21.50,,,,
2020-10-14T21:35:32+02:00,28,49.65,78.00,21.80,,,,
2020-10-14T21:45:37+02:00,29,49.65,77.00,21.40,,,,
2020-10-14T21:55:41+02:00,30,49.64,78.00,21.10,,,,
2020-10-14T22:05:46+02:00,31,49.65,77.00,21.10,,,,
2020-10-14T22:15:50+02:00,32,49.65,79.00,22.10,,,,
2020-10-14T22:25:54+02:00,33,49.65,78.00,22.10,,,,
2020-10-14T22:35:58+02:00,34,49.65,78.00,21.80,,,,
2020-10-14T22:46:02+02:00,35,49.65,78.00,21.00,,,,
2020-10-14T22:56:07+02:00,36,49.65,77.00,20.50,,,,
2020-10-14T23:06:11+02:00,37,49.65,79.00,21.10,,,,
2020-10-14T23:16:15+02:00,38,49.65,78.00,20.80,,,,
2020-10-14T23:26:20+02:00,39,49.65,78.00,20.20,,,,
2020-10-14T23:36:24+02:00,40,49.65,77.00,19.60,,,,
2020-10-14T23:46:28+02:00,41,49.64,78.00,19.30,,,,
2020-10-14T23:56:32+02:00,42,49.64,77.00,19.00,,,,
2020-10-15T00:06:37+02:00,43,49.64,77.00,18.70,,,,
2020-10-15T00:16:41+02:00,44,49.63,79.00,18.70,,,,
2020-10-15T00:26:45+02:00,45,49.64,81.00,19.30,,,,
2020-10-15T00:36:50+02:00,46,49.61,80.00,19.00,,,,
2020-10-15T00:46:54+02:00,47,49.64,82.00,19.80,,,,
2020-10-15T00:56:58+02:00,48,49.63,81.00,20.50,,,,
2020-10-15T01:07:03+02:00,49,49.64,80.00,19.90,,,,
2020-10-15T01:17:07+02:00,50,49.63,80.00,19.50,,,,
2020-10-15T01:27:11+02:00,51,49.65,80.00,19.00,,,,
2020-10-15T01:37:15+02:00,52,49.64,81.00,18.70,,,,
2020-10-15T01:47:20+02:00,53,49.65,81.00,18.20,,,,
2020-10-15T01:57:24+02:00,54,49.63,81.00,17.60,,,,
2020-10-15T02:17:33+02:00,55,49.63,82.00,17.00,,,,
2020-10-15T02:27:37+02:00,56,49.65,83.00,16.70,,,,
2020-10-15T02:37:41+02:00,57,49.63,84.00,16.50,,,,
2020-10-15T02:47:45+02:00,58,49.62,85.00,17.00,,,,
2020-10-15T02:57:50+02:00,59,49.63,85.00,17.90,,,,
2020-10-15T03:07:54+02:00,60,49.63,83.00,17.40,,,,
2020-10-15T03:17:58+02:00,61,49.63,83.00,16.90,,,,
2020-10-15T03:28:03+02:00,62,49.63,84.00,16.50,,,,
2020-10-15T03:38:07+02:00,63,49.63,84.00,16.10,,,,
2020-10-15T03:48:11+02:00,64,49.63,85.00,15.90,,,,
2020-10-15T03:58:15+02:00,65,49.63,86.00,15.70,,,,
2020-10-15T04:08:20+02:00,66,49.63,85.00,15.60,,,,
2020-10-15T04:18:24+02:00,67,49.63,86.00,15.60,,,,
2020-10-15T04:28:28+02:00,68,49.64,86.00,15.50,,,,
2020-10-15T04:38:33+02:00,69,49.63,87.00,15.40,,,,
2020-10-15T04:48:37+02:00,70,49.63,88.00,15.60,,,,
2020-10-15T05:08:45+02:00,71,49.63,87.00,15.40,,,,
2020-10-15T05:18:50+02:00,72,49.64,87.00,15.10,,,,
2020-10-15T05:28:54+02:00,73,49.63,88.00,15.10,,,,
2020-10-15T05:38:58+02:00,74,49.64,88.00,15.30,,,,
2020-10-15T05:49:03+02:00,75,49.65,89.00,16.70,,,,
2020-10-15T05:59:07+02:00,76,49.65,87.00,17.60,,,,
2020-10-15T06:09:11+02:00,77,49.65,85.00,17.00,,,,
2020-10-15T06:19:15+02:00,78,49.65,84.00,16.60,,,,
2020-10-15T06:29:20+02:00,79,49.65,84.00,16.20,,,,
2020-10-15T06:39:24+02:00,80,49.65,85.00,15.90,,,,
2020-10-15T06:49:28+02:00,81,49.66,85.00,15.60,,,,
2020-10-15T06:59:32+02:00,82,49.65,85.00,15.90,,,,
2020-10-15T07:09:37+02:00,83,49.66,85.00,16.50,,,,
2020-10-15T07:19:41+02:00,84,49.65,86.00,16.10,,,,
2020-10-15T07:29:45+02:00,85,49.65,86.00,15.90,,,,
2020-10-15T07:39:50+02:00,86,49.65,86.00,15.70,,,,
2020-10-15T07:49:54+02:00,87,49.66,85.00,15.40,,,,
2020-10-15T07:59:58+02:00,88,49.65,85.00,15.50,,,,
2020-10-15T08:10:02+02:00,89,49.65,86.00,15.40,,,,
2020-10-15T08:20:07+02:00,90,49.66,86.00,15.60,,,,
2020-10-15T08:30:11+02:00,91,49.65,85.00,15.40,,,,
2020-10-15T08:40:15+02:00,92,49.64,86.00,16.20,,,,
2020-10-15T08:50:20+02:00,93,49.62,86.00,16.50,,,,
2020-10-15T09:00:24+02:00,94,49.60,87.00,17.00,,,,
2020-10-15T09:10:28+02:00,95,49.62,86.00,16.70,,,,
2020-10-15T09:30:37+02:00,96,49.64,85.00,16.50,,,,
