created_at,entry_id,weight,humidity,temperature,year,month,day,month_day,weight_cleaned,weight_diff,end_date,event_type
2020-12-24 14:55:31+00:00,9745,43.14,89.0,17.8,2020,12,24,12-24,43.14,-1.3999999999999986,2020-12-24 15:05:35+00:00,rapid weight change
2021-01-16 09:45:08+00:00,12834,41.58,95.0,13.9,2021,1,16,01-16,41.58,1.009999999999998,2021-01-16 09:45:08+00:00,rapid weight change
2021-05-10 12:33:28+00:00,28403,43.96,69.0,38.0,2021,5,10,05-10,43.96,1.0200000000000031,2021-05-10 12:43:33+00:00,rapid weight change
2021-05-15 13:25:02+00:00,29047,46.49,80.0,34.0,2021,5,15,05-15,46.49,1.3350000000000009,2021-05-15 13:35:06+00:00,rapid weight change
2021-05-18 14:36:09+00:00,29482,46.34,78.0,33.4,2021,5,18,05-18,46.34,1.115000000000002,2021-05-18 14:46:13+00:00,rapid weight change
2021-05-19 12:35:31+00:00,29613,50.34,76.0,35.2,2021,5,19,05-19,50.34,1.0250000000000057,2021-05-19 12:55:39+00:00,rapid weight change
2021-05-19 14:06:09+00:00,29622,52.04,78.0,32.8,2021,5,19,05-19,52.04,1.0700000000000003,2021-05-19 14:06:09+00:00,rapid weight change
2021-05-24 08:15:16+00:00,30299,48.8,56.0,31.7,2021,5,24,05-24,48.8,-4.920000000000002,2021-05-24 08:35:32+00:00,rapid weight change
2021-05-29 14:29:28+00:00,31043,64.44,81.0,34.3,2021,5,29,05-29,64.44,1.019999999999996,2021-05-29 14:29:28+00:00,rapid weight change
2021-06-02 05:46:46+00:00,31562,84.9,71.0,33.0,2021,6,2,06-02,84.9,-1.1049999999999898,2021-06-02 05:46:46+00:00,rapid weight change
2021-06-02 12:59:59+00:00,31605,83.65,69.0,36.4,2021,6,2,06-02,83.65,-3.3499999999999943,2021-06-02 13:20:07+00:00,rapid weight change
2021-06-04 08:48:57+00:00,31865,89.77,65.0,36.7,2021,6,4,06-04,89.77,4.86999999999999,2021-06-04 09:09:06+00:00,rapid weight change
2021-06-17 06:02:06+00:00,33701,66.65,70.0,29.9,2021,6,17,06-17,66.65,-19.275000000000006,2021-06-17 06:32:33+00:00,rapid weight change
2021-06-17 17:57:41+00:00,33772,49.8,72.0,27.2,2021,6,17,06-17,49.8,7.494999999999997,2021-06-17 18:17:49+00:00,rapid weight change
2021-06-18 15:27:00+00:00,33900,49.15,59.0,38.1,2021,6,18,06-18,49.15,-1.095000000000006,2021-06-18 15:27:00+00:00,rapid weight change
2021-06-29 18:46:03+00:00,35380,57.46,78.0,28.6,2021,6,29,06-29,57.46,1.0549999999999997,2021-06-29 18:46:03+00:00,rapid weight change
2021-06-30 23:08:13+00:00,35457,58.42,84.0,25.0,2021,6,30,06-30,58.42,1.1099999999999994,2021-06-30 23:18:17+00:00,rapid weight change
2021-07-14 17:40:37+00:00,37284,49.75,73.0,29.5,2021,7,14,07-14,49.75,-7.579999999999998,2021-07-14 18:41:33+00:00,rapid weight change
2021-07-18 19:36:52+00:00,37419,31.52,83.0,23.2,2021,7,18,07-18,31.52,-14.555000000000003,2021-07-18 19:57:01+00:00,rapid weight change
2021-07-20 03:40:53+00:00,37610,34.43,77.0,25.9,2021,7,20,07-20,34.43,1.8299999999999983,2021-07-20 03:50:58+00:00,rapid weight change
2021-07-22 04:02:25+00:00,37891,33.24,72.0,25.9,2021,7,22,07-22,33.24,-1.1599999999999966,2021-07-22 04:12:30+00:00,rapid weight change
2021-07-22 12:46:31+00:00,37942,36.48,73.0,35.6,2021,7,22,07-22,36.48,3.2199999999999918,2021-07-22 13:06:40+00:00,rapid weight change
2021-07-27 19:21:01+00:00,38671,38.2,66.0,28.1,2021,7,27,07-27,38.2,2.0250000000000057,2021-07-27 19:21:01+00:00,rapid weight change
2021-07-28 05:45:35+00:00,38733,40.39,78.0,28.6,2021,7,28,07-28,40.39,2.3400000000000034,2021-07-28 06:05:44+00:00,rapid weight change
2021-08-06 08:08:04+00:00,40000,41.27,78.0,32.3,2021,8,6,08-06,41.27,3.825000000000003,2021-08-06 08:28:20+00:00,rapid weight change
2021-08-11 04:54:19+00:00,40685,32.24,77.0,24.8,2021,8,11,08-11,32.24,-7.934999999999995,2021-08-11 05:24:40+00:00,rapid weight change
2021-08-31 07:36:18+00:00,43507,42.31,95.0,23.4,2021,8,31,08-31,42.31,2.9200000000000017,2021-08-31 07:56:26+00:00,rapid weight change
2021-09-22 05:53:45+00:00,46372,37.07,86.0,30.5,2021,9,22,09-22,37.07,-2.6799999999999997,2021-09-22 06:13:53+00:00,rapid weight change
2022-03-25 14:19:20+00:00,70791,33.11,69.0,36.0,2022,3,25,03-25,33.11,-8.230000000000004,2022-03-25 15:00:00+00:00,rapid weight change
2022-04-13 20:24:48+00:00,72843,48.6,67.0,32.3,2022,4,13,04-13,48.6,1.3249999999999957,2022-04-13 20:34:52+00:00,rapid weight change
2022-04-17 23:06:38+00:00,73097,51.13,61.0,24.6,2022,4,17,04-17,51.13,1.5600000000000023,2022-04-17 23:16:42+00:00,rapid weight change
2022-04-18 23:06:48+00:00,73107,52.33,58.0,24.8,2022,4,18,04-18,52.33,1.2299999999999969,2022-04-18 23:16:52+00:00,rapid weight change
2022-04-26 23:08:47+00:00,74008,56.14,70.0,32.4,2022,4,26,04-26,56.14,1.7950000000000017,2022-04-26 23:18:51+00:00,rapid weight change
2022-04-28 23:09:09+00:00,74204,59.09,70.0,29.5,2022,4,28,04-28,59.09,2.395000000000003,2022-04-28 23:29:17+00:00,rapid weight change
2022-04-29 23:09:19+00:00,74282,60.34,73.0,30.0,2022,4,29,04-29,60.34,1.210000000000008,2022-04-29 23:19:23+00:00,rapid weight change
2022-04-30 22:09:03+00:00,74328,61.34,68.0,31.2,2022,4,30,04-30,61.34,1.345000000000006,2022-04-30 22:19:07+00:00,rapid weight change
2022-05-05 23:10:34+00:00,74878,79.77,66.0,32.4,2022,5,5,05-05,79.77,12.844999999999999,2022-05-05 23:30:43+00:00,rapid weight change
2022-05-07 15:47:52+00:00,75060,83.64,55.0,33.1,2022,5,7,05-07,83.64,1.940000000000012,2022-05-07 15:57:56+00:00,rapid weight change
2022-05-12 04:04:00+00:00,75637,89.77,57.0,32.6,2022,5,12,05-12,89.77,1.3599999999999994,2022-05-12 04:04:00+00:00,rapid weight change
2022-05-12 16:09:09+00:00,75665,90.38,55.0,34.4,2022,5,12,05-12,90.38,2.194999999999993,2022-05-12 16:29:17+00:00,rapid weight change
2022-05-14 19:31:00+00:00,75854,91.7,56.0,32.8,2022,5,14,05-14,91.7,2.565000000000012,2022-05-14 19:51:08+00:00,rapid weight change
2022-05-26 23:05:43+00:00,77164,102.43,58.0,33.0,2022,5,26,05-26,102.43,-1.9499999999999886,2022-05-26 23:15:47+00:00,rapid weight change
2022-05-27 12:41:35+00:00,77227,91.93,57.0,35.0,2022,5,27,05-27,91.93,-10.169999999999987,2022-05-27 13:11:55+00:00,rapid weight change
2022-05-27 14:22:32+00:00,77237,74.08,56.0,34.8,2022,5,27,05-27,74.08,5.164999999999992,2022-05-27 14:42:41+00:00,rapid weight change
2022-05-27 16:23:31+00:00,77249,71.59,56.0,33.6,2022,5,27,05-27,71.59,-2.2099999999999937,2022-05-27 16:33:35+00:00,rapid weight change
2022-05-29 23:07:07+00:00,77337,64.71,58.0,32.4,2022,5,29,05-29,64.71,-6.885000000000005,2022-05-29 23:27:15+00:00,rapid weight change
